,Date,USD (PM),Value,able_trade_gold,gold_growth_rate,bit_growth_rate,gip,bip,gir,bir,C,G,B,total property,gold_macd,bit_macd,gold_quantile,bit_quantile,gold_dif,bit_dif,gold_dea,bit_dea,gold_ma5,bit_ma5,gold_ma15,bit_ma15,gold_ma5_bias,gold_ma15_bias,bit_ma5_bias,bit_ma15_bias,gold_rsi_15,bit_rsi_5
0,2016-09-11,1324.6,621.65,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,
1,2016-09-12,1324.6,609.67,1.0,0.0,-1.9271294136572001,,,,,,,,,0.0,-1.5290712250713114,0.0,0.0,0.0,-0.9556695156695696,0.0,-0.1911339031339139,,,,,,,,,,
2,2016-09-13,1323.65,610.92,1.0,-0.07171976445718001,0.20502895008775,,,,,,,,,-0.1212535612532519,-2.244277783459511,0.0,0.0,-0.0757834757832824,-1.5938075177961082,-0.0151566951566564,-0.4716686260663527,,,,,,,,,,
3,2016-09-14,1321.75,608.82,1.0,-0.14354247724096,-0.34374386171674004,,,,,,,,,-0.4331273934463388,-2.834340610875246,0.0,0.0,-0.2858613160606182,-2.2431315078633816,-0.0692976193374488,-0.8259612024257585,,,,,,,,,,
4,2016-09-15,1310.8,610.38,1.0,-0.8284471344808,0.25623336946879,,,,,,,,,-2.002241907062533,-2.841428368983226,40.0,33.33333333333333,-1.320698811251532,-2.6018539330402746,-0.3195778577202655,-1.1811397485486617,1321.08,612.288,,,-0.7781512096163724,,-0.3116180620884315,,,16.882848728753412
5,2016-09-16,1308.35,609.11,1.0,-0.18690875801037002,-0.2080671057374,,,,,,,,,-3.1876511481344263,-2.837478882953948,100.0,100.0,-2.311859825304282,-2.954564050394879,-0.7180342512370688,-1.535824608917905,1317.83,609.78,,,-0.7193644096734798,,-0.10987569287283268,,,15.68811291315943
6,2016-09-17,1308.35,607.04,0.0,0.0,-0.3398400945642,,,,,,,,,-3.7504483923005454,-2.922459578481518,88.88888888888889,88.88888888888889,-3.062064496424909,-3.362361845468854,-1.1868403002746368,-1.901132056228095,1314.58,609.2539999999999,,,-0.47391562324088443,,-0.3633952341716168,,,34.09400230926834
7,2016-09-18,1308.35,611.58,0.0,0.0,0.74789140748551,,,,,,,,,-3.884953706763012,-2.208394768259515,88.88888888888889,100.0,-3.614936367001519,-3.281378786390292,-1.672459513620013,-2.1771814022605342,1311.52,609.3860000000001,,,-0.24170428205441571,,0.36003452655623197,,,52.96642969658565
8,2016-09-19,1314.85,610.19,1.0,0.49680895784767,-0.22728015958664002,,,,,,,,,-2.905478721264738,-1.7827802868940283,72.72727272727273,41.66666666666667,-3.4883837144104746,-3.291419081569302,-2.035644353778105,-2.400028938122288,1310.1399999999999,609.6600000000001,,,0.35950356450455956,,0.08693370075123391,,,56.43331241117476
9,2016-09-20,1313.8,608.66,1.0,-0.07985701791078,-0.25074157229716,,,,,,,,,-2.2361527123047003,-1.5740779268281164,30.76923076923077,46.15384615384615,-3.4332397989685437,-3.383827642389861,-2.315163442816193,-2.5967886789758023,1310.74,609.316,,,0.23345591040175362,,-0.10766170591286996,,,42.16274843394024
10,2016-09-21,1326.1,598.88,1.0,0.93621555792357,-1.6068083987776298,,,,,,,,,-0.087280980362526,-2.561676215678056,46.15384615384615,46.15384615384615,-2.3697140555427723,-4.197836313774587,-2.326073565361509,-2.9169982059355597,1314.2899999999997,607.2700000000001,,,0.8985840263564491,,-1.3815930311064435,,,23.573739270319326
